element,protons,nuetrons,electrons,ProtElectConfigNumb,NueConfigNumb,periodic x,periodic y,ProtElectConfig,NueConfig,half
livermorium,116,177,116,6214104,6.21411E+15,16,7,[Rn] 7s2 5f14 6d10 7p4,[Rn] 7s2 5f14 6d10 7p6 8s2  5g18 6f14 7d10 8p6 6g2,3600
praseodymium,59,82,59,523,5214102,6,7,[Xe] 6s2 4f3,[Xe] 6s2 4f14 5d10 6p2,1.43E+17
nickel,28,31,28,328,32101,10,4,[Ar] 4s2 3d8,[Ar] 4s2 3d10 4p1,1.43E+17
curium,96,151,96,628,62141062186,11,7,[Rn] 7s2 5f8,[Rn] 7s2 5f14 6d10 7p6 8s2  5g18 6f6,4.92E+14
uranium,92,146,92,624,62141062181,7,7,[Rn] 7s2 5f4,[Rn] 7s2 5f14 6d10 7p6 8s2  5g18 6f1,1.00E+15
cesium,55,78,55,51,52148,1,6,[Xe] 6s1,[Xe] 6s2 4f14 5d8,1.43E+17
magnesium,12,12,12,22,22,2,3,[Ne] 3s2,[Ne] 3s2,1.43E+17
lawrencium,103,159,103,62141,6.21411E+12,18,7,[Rn] 7s2 5f14 6d1,[Rn] 7s2 5f14 6d10 7p6 8s2  5g18 6f14 7d7,36000
gallium,31,39,31,32101,421,13,4,[Ar] 4s2 3d10 4p1,[Kr] 5s2 4d1,1.43E+17
astatine,85,125,85,5214105,6214106,17,6,[Xe] 6s2 4f14 5d10 6p5,[Rn] 7s2 5f14 6d10 7p6 ,29160
lanthanum,57,84,57,521,5214104,3,6,[Xe] 6s2 4f1,[Xe] 6s2 4f14 5d10 6p4,1.43E+17
francium,87,136,87,61,621410629,1,7,[Rn] 7s1,[Rn] 7s2 5f14 6d10 7p6 8s2  5g9,1320
cobalt,27,32,27,327,32102,9,4,[Ar] 4s2 3d7,[Ar] 4s2 3d10 4p2,1.43E+17
technetium,43,55,43,425,51,7,5,[Kr] 5s2 4d5,[Xe] 6s1,1.00E+14
roentgenium,111,169,111,62149,6.21411E+13,11,7,[Rn] 7s2 5f14 6d9,[Rn] 7s2 5f14 6d10 7p6 8s2  5g18 6f14 7d10,120
chlorine,17,18,17,225,226,17,3,[Ne] 3s2 3p5,[Ne] 3s2 3p6,1.43E+17
gold,79,118,79,52149,6214106,11,6,[Xe] 6s2 4f14 5d9,[Rn] 7s2 5f14 6d10 7p6,1.43E+17
arsenic,33,42,33,32103,424,15,4,[Ar] 4s2 3d10 4p3,[Kr] 5s2 4d4,1.43E+17
meitnerium,109,167,109,62147,6.21411E+12,9,7,[Rn] 7s2 5f14 6d7,[Rn] 7s2 5f14 6d10 7p6 8s2  5g18 6f14 7d8,0.6
iridium,77,115,77,52147,6214103,9,6,[Xe] 6s2 4f14 5d7,[Rn] 7s2 5f14 6d10 7p3,1.43E+17
molybdenum,42,54,42,424,42106,6,5,[Kr] 5s2 4d4,[Kr] 5s2 4d10 5p6,1.43E+17
