element,protons,nuetrons,electrons,NueConfigNumb,ProtElectConfigNumb,periodic x,periodic y,ProtElectConfig,NueConfig,half,halfCat,magicPro,magicNue
tantalum,73,105,73,62146,62143,5,6,[Xe] 6s2 4f14 5d3,[Rn] 7s2 5f14 6d6,29250,4,0,0
manganese,25,27,25,3210,325,7,4,[Ar] 4s2 3d5,[Ar] 4s2 3d10,483840,5,0,0
tennessine,117,173,117,6.21E+15,6214105,17,7,[Rn] 7s2 5f14 6d10 7p5,[Rn] 7s2 5f14 6d10 7p3 8s2  5g18 6f14 7d10 8p6 6g3,0.02,1,0,0
tennessine,117,174,117,6.21E+15,6214105,17,7,[Rn] 7s2 5f14 6d10 7p5,[Rn] 7s2 5f14 6d10 7p3 8s2  5g18 6f14 7d10 8p6 6g3,0.05,1,0,0
radon,86,127,86,6214103212,6214106,18,6,[Xe] 6s2 4f14 5d10 6p6,[Rn] 7s2 5f14 6d10 7p3 8s2  5g12,8640,4,1,1
Krypton,36,42,36,4210,42106,18,3,[Ar] 4s2 3d10 4p6,[Kr] 5s2 4d10,3.31E+25,6,1,1
zinc,30,39,30,42105,4210,12,4,[Ar] 4s2 3d10,[Ar] 4s2 3d10 4p5,3360,3,0,0
copernicum,112,174,112,6.21E+15,621410,12,7,[Rn] 7s2 5f14 6d10,[Rn] 7s2 5f14 6d10 7p3 8s2  5g18 6f14 7d10 8p6 6g1,8.45,2,0,0
Darmstadtium,110,169,110,6.21E+13,62148,10,7,[Rn] 7s2 5f14 6d8,[Rn] 7s2 5f14 6d10 7p3 8s2  5g18 6f14 7d10 8p5,0.2,1,0,0
silicon,14,17,14,222,222,14,3,[Ne] 3s2 3p2,[Ne] 3s2 3p2,9432,4,0,0
bismuth,83,125,83,52146,214103,15,6,[Xe] 6s2 4f14 5d10 6p3,[Xe] 6s2 4f14 5d6,1.16E+17,6,0,0
Sodium,11,11,11,322,21,1,3,[Ne] 3s1,[Ar] 4s2 3d2,82056672,5,0,0
cadmium,48,61,48,5210,5210,12,5,[Kr] 5s2 4d10,[Xe] 6s2 4f10,39968640,5,0,0
copper,29,35,29,32104,329,11,4,[Ar] 4s2 3d9,[Ar] 4s2 3d10 4p4,45720,4,0,0
mendelevium,101,159,101,6213,6.21E+11,16,7,[Rn] 7s2 5f13,[Rn] 7s2 5f14 6d10 7p6 8s2  5g18 6f11,2747520,5,0,0
rhodium,45,57,45,427,522,9,5,[Kr] 5s2 4d7,[Xe] 6s2 4f2,1.79E+07,5,0,0
lutetium,71,103,71,52141,62142,18,6,[Xe] 6s2 4f14 5d1,[Rn] 7s2 5f14 6d2,1.04E+08,5,1,1
hafnium,72,100,72,52142,62144,4,6,[Xe] 6s2 4f14 5d2,[Rn] 7s2 5f14 6d4,5.90E+07,5,0,0
dubnium,105,158,105,52143,5.21E+12,5,7,[Rn] 7s2 5f14 6d3,[Rn] 7s2 5f14 6d10 7p6 8s2  5g18 6f14 7d4,27,2,0,0
ruthenium,44,59,44,426,521,8,5,[Kr] 5s2 4d6,[Xe] 6s2 4f1,3392064,5,0,0
xenon,54,74,54,42106,52147,18,5,[Kr] 5s2 4d10 5p6,[Xe] 6s2 4f14 5d7,60840,4,1,1
terbium,65,93,65,529,626,12,7,[Xe] 6s2 4f9,[Rn] 7s2 5f6,5.68E+09,6,0,0
osmium,76,115,76,52146,6214102,8,6,[Xe] 6s2 4f14 5d6,[Rn] 7s2 5f14 6d10 7p2,1330560,5,0,0
mercury,80,117,80,521410,62141062,12,6,[Xe] 6s2 4f14 5d10,[Rn] 7s2 5f14 6d10 7p6 8s2,230904,5,0,0
americium,95,146,95,627,62141062183,10,7,[Rn] 7s2 5f7,[Rn] 7s2 5f14 6d10 7p6 8s2  5g18 6f3,1.36E+10,6,0,0
zirconium,40,53,40,422,42103,4,5,[Kr] 5s2 4d2,[Kr] 5s2 4d10 5p3,4.83E+13,6,0,0
iron,26,29,26,326,3210,8,4,[Ar] 4s2 3d6,[Ar] 4s2 3d10,8.61E+07,5,0,0
tungsten,74,106,74,52144,6214106212,6,6,[Xe] 6s2 4f14 5d4,[Rn] 7s2 5f14 6d10 7p6 8s2  5g12,5.68E+25,6,0,0
